_date,total_clones,unique_clones
2022-12-31,22,6
2023-01-01,33,6
2023-01-02,22,8
2023-01-03,35,13
2023-01-04,28,9
2023-01-05,23,6
2023-01-06,28,7
2023-01-07,22,7
2023-01-08,48,9
2023-01-09,42,13
2023-01-10,23,6
2023-01-11,23,7
2023-01-12,23,7
2023-01-13,24,8
2023-01-14,22,7
2023-01-15,48,9
